Amount,Transaction Type,Category
50,debit,Rent
23.3,debit,Gas & Fuel
19.03,debit,Groceries
11,debit,Furnishings
32.36,debit,Groceries
3.26,debit,Coffee Shops
8.85,debit,Fast Food
19.99,debit,Electronics & Software
24.82,debit,Food & Dining
14.01,debit,Restaurants
12.18,debit,Restaurants
240,debit,Doctor
3.26,debit,Coffee Shops
17.07,credit,Interest Income
17.07,debit,Finance Charge
17.6,debit,Restaurants
8.8,debit,Groceries
2.13,debit,Coffee Shops
11.18,debit,Restaurants
10000,credit,Hide from Budgets & Trends
17.6,debit,Restaurants
10.85,debit,Shipping
10.67,debit,Fast Food
41,debit,Gym
3.26,debit,Coffee Shops
9.51,debit,Groceries
4.36,debit,Restaurants
12.91,debit,Restaurants
64.99,debit,Internet
15.28,debit,Restaurants
19.59,debit,Pharmacy
2.17,debit,Groceries
22.92,debit,Pharmacy
2.13,debit,Coffee Shops
6.03,debit,Coffee Shops
23.25,debit,Gas & Fuel
3.56,debit,Gas & Fuel
4526.93,debit,Credit Card Payment
10.91,debit,Groceries
3.26,debit,Coffee Shops
20,debit,Doctor
20,debit,Web hosting
35.54,debit,Restaurants
4526.93,credit,Credit Card Payment
27.35,debit,Shopping
26.02,debit,Restaurants
9.97,debit,Coffee Shops
29.94,debit,Rental Car & Taxi
3.26,debit,Coffee Shops
38.65,debit,Groceries
8.85,debit,Coffee Shops
64.99,debit,Credit Card Payment
5.13,debit,Restaurants
10.12,debit,Restaurants
81.56,debit,Health & Fitness
7.93,debit,Gift
4.76,debit,Hobbies
17.53,debit,Restaurants
9.92,debit,Fast Food
6.72,debit,Hobbies
17.2,debit,Movies & DVDs
64.99,credit,Credit Card Payment
3.99,debit,Groceries
12.05,debit,Hobbies
25.22,debit,Utilities
3.76,debit,Hobbies
43.67,debit,Mobile Phone
9.32,debit,Groceries
11.94,debit,Hobbies
5500,debit,Investment
6.44,debit,Hobbies
2.1,debit,Coffee Shops
27.21,debit,Groceries
2.1,debit,Coffee Shops
850,debit,Rent
10.9,debit,Restaurants
2.1,debit,Shopping
7.94,debit,Fast Food
115.92,debit,Restaurants
6.59,debit,Coffee Shops
3.26,debit,Coffee Shops
20,debit,Doctor
8.6,debit,Rental Car & Taxi
1568.27,credit,Paycheck
31.05,debit,Restaurants
15.49,debit,Groceries
57.01,debit,Groceries
1.24,credit,Interest Income
50,debit,529
82.67,debit,Utilities
22.25,debit,Gas & Fuel
50,debit,Gift
4.38,debit,Hobbies
34.21,debit,Fast Food
114.25,debit,Groceries
5,debit,Parking
7.49,debit,Electronics & Software
20,debit,Doctor
18.13,debit,Groceries
3.26,debit,Coffee Shops
5.26,debit,Coffee Shops
6.95,credit,Bank Fee
6.95,debit,Bank Fee
8.72,debit,Groceries
3.26,debit,Coffee Shops
263.83,debit,Hotel
9.65,debit,Restaurants
3.26,debit,Coffee Shops
3.53,debit,Finance Charge
3425,credit,Freelance
270.82,credit,Reimbursement
10,credit,Reimbursement
525,credit,Hide from Budgets & Trends
25,debit,Service Fee
12.5,debit,Service Fee
3.26,debit,Coffee Shops
7.96,debit,Pharmacy
10.55,debit,Groceries
10,debit,Pharmacy
14.1,debit,Restaurants
3.26,debit,Coffee Shops
38.2,debit,Groceries
500,debit,Hide from Budgets & Trends
119.39,debit,Shopping
250,debit,Cryptocurrency
21.01,debit,Gas & Fuel
64.99,debit,Internet
3,debit,Parking
20,debit,Doctor
16.37,debit,Service & Parts
3.26,debit,Coffee Shops
4.43,debit,Coffee Shops
1568.26,credit,Paycheck
13.66,debit,Restaurants
4.43,debit,Coffee Shops
3.26,debit,Coffee Shops
14.94,debit,Groceries
12.5,debit,Service Fee
26.61,debit,Restaurants
250,debit,Cryptocurrency
13.66,debit,Restaurants
51,credit,Reimbursement
3.26,debit,Coffee Shops
1892.91,debit,Credit Card Payment
15.29,debit,Restaurants
20,debit,Restaurants
28.47,debit,Restaurants
6.24,debit,Coffee Shops
5,debit,Check
20,debit,Web hosting
9.11,debit,Rental Car & Taxi
10.2,debit,Groceries
9.97,debit,Coffee Shops
36,debit,Service & Parts
8.59,debit,Rental Car & Taxi
10.85,debit,Coffee Shops
4.43,debit,Coffee Shops
1892.91,credit,Credit Card Payment
17.92,debit,Restaurants
4.27,debit,Fast Food
24.75,debit,Restaurants
15.98,debit,Restaurants
2.99,debit,Restaurants
8.26,debit,Rental Car & Taxi
23.69,debit,Rental Car & Taxi
8,debit,Restaurants
3,debit,Restaurants
15.93,debit,Restaurants
13,debit,Restaurants
27.87,debit,Rental Car & Taxi
2.75,debit,Public Transportation
19.26,debit,Fast Food
5.25,debit,Coffee Shops
80,debit,Cash & ATM
3.26,debit,Coffee Shops
13.76,debit,Restaurants
20,debit,Doctor
5,debit,Groceries
74.63,debit,Credit Card Payment
8.16,debit,Groceries
3.26,debit,Coffee Shops
48.52,debit,Gym
3.26,debit,Coffee Shops
18,debit,Restaurants
74.63,credit,Credit Card Payment
43.67,debit,Mobile Phone
9.97,debit,Coffee Shops
51,debit,Travel
15.35,debit,Groceries
13.87,debit,Restaurants
45.31,debit,Hobbies
3.26,debit,Coffee Shops
86.76,debit,Gift
11.25,debit,Groceries
13.37,debit,Fast Food
270.82,debit,Hide from Budgets & Trends
27.24,debit,Restaurants
16.27,debit,Gas & Fuel
13.97,debit,Fast Food
21.99,debit,Utilities
5000,debit,Hide from Budgets & Trends
25.43,debit,Restaurants
20,debit,Doctor
10.97,debit,Coffee Shops
3.26,debit,Coffee Shops
875,debit,Rent
8,debit,Restaurants
6.75,debit,Coffee Shops
17.59,debit,Restaurants
13.73,debit,Restaurants
1568.27,credit,Paycheck
20826.02,credit,Transfer
3.26,debit,Coffee Shops
13.73,debit,Restaurants
20826.02,debit,Transfer
9.82,debit,Groceries
3.06,debit,Coffee Shops
5000,debit,Hide from Budgets & Trends
110,debit,Travel
5000,debit,Cryptocurrency
0.63,debit,Gift
33.81,debit,Gift
95.95,debit,Gift
3.26,debit,Coffee Shops
136.27,debit,Property Tax
43.59,debit,Groceries
103.45,debit,Gift
347.96,debit,Air Travel
297.98,debit,Air Travel
3.53,debit,Furnishings
198.98,debit,Air Travel
6.68,debit,Coffee Shops
6.6,debit,Hobbies
30.32,debit,Shopping
162.68,debit,Home Improvement
13.77,debit,Gas & Fuel
13.16,debit,Gas & Fuel
12.53,debit,Restaurants
1.61,debit,Gas & Fuel
0.19,credit,Interest Income
50,debit,529
80.46,debit,Utilities
9.88,debit,Coffee Shops
22.72,debit,Gas & Fuel
40.06,debit,Restaurants
16.56,debit,Groceries
43.66,debit,Shopping
29.36,debit,Groceries
209.84,debit,Gift
6.95,debit,Bank Fee
6.95,credit,Bank Fee
3.26,debit,Coffee Shops
24.31,debit,Groceries
13.73,debit,Restaurants
3.26,debit,Coffee Shops
15.82,debit,Fast Food
5.53,debit,Groceries
3.26,debit,Coffee Shops
13.98,debit,Business Services
15.26,debit,Shopping
10,debit,Pharmacy
20,debit,Doctor
14.31,debit,Personal Care
22.57,debit,Restaurants
2.93,debit,Coffee Shops
9.97,debit,Coffee Shops
150,debit,Personal Care
3.06,debit,Coffee Shops
22.68,debit,Investments
44,debit,Gym
27.45,debit,Restaurants
64.99,debit,Internet
22.68,credit,Investments
14.33,debit,Coffee Shops
3.26,debit,Coffee Shops
22.78,debit,Groceries
1568.26,credit,Paycheck
17.25,debit,Restaurants
3.06,debit,Coffee Shops
20,debit,Doctor
2538.42,debit,Credit Card Payment
26.07,debit,Restaurants
15.21,debit,Fast Food
6.68,debit,Coffee Shops
2.46,debit,Fast Food
9.21,debit,Groceries
176.11,debit,Clothing
16.37,debit,Pharmacy
2538.42,credit,Credit Card Payment
20,debit,Web hosting
16.07,debit,Gas & Fuel
21.55,debit,Restaurants
4.43,debit,Coffee Shops
17.59,debit,Restaurants
10,debit,Restaurants
2.93,debit,Coffee Shops
20,debit,Doctor
14.12,debit,Restaurants
8.72,debit,Groceries
221.61,debit,Restaurants
18.55,debit,Groceries
12.77,debit,Restaurants
21.06,debit,Groceries
15.33,debit,Restaurants
64.99,debit,Credit Card Payment
7.5,debit,Coffee Shops
70.59,debit,Restaurants
3.06,debit,Coffee Shops
64.99,credit,Credit Card Payment
10.56,debit,Coffee Shops
9.25,debit,Restaurants
3.06,debit,Coffee Shops
19.63,debit,Groceries
43.67,debit,Mobile Phone
20.5,debit,Hair
19.6,debit,Alcohol & Bars
20,debit,Doctor
22.74,debit,Gas & Fuel
25.64,debit,Restaurants
2.93,debit,Coffee Shops
2.93,debit,Coffee Shops
12.86,debit,Restaurants
825,debit,Rent
19.99,debit,Electronics & Software
17.51,debit,Restaurants
35.03,debit,Utilities
430,credit,Freelance
1568.27,credit,Paycheck
0.12,credit,Dividend & Cap Gains
0.12,debit,Investments
48.26,debit,Groceries
25.09,debit,Restaurants
4.85,debit,Fast Food
12.82,debit,Fast Food
17.02,debit,Groceries
11.17,debit,Business Services
11.14,debit,Groceries
4.12,debit,Home Improvement
6.42,debit,Coffee Shops
20,debit,Doctor
30.85,debit,Utilities
9100,credit,Freelance
7.66,debit,Fast Food
12.86,debit,Restaurants
26.17,debit,Restaurants
0.18,credit,Interest Income
6.95,debit,Bank Fee
50,debit,529
6.95,credit,Bank Fee
6.33,debit,Restaurants
6.02,debit,Groceries
41.28,debit,Groceries
13.73,debit,Restaurants
9.89,debit,Restaurants
10,debit,Pharmacy
59.99,debit,Electronics & Software
15.17,debit,Restaurants
46.21,debit,Shopping
41.97,debit,Clothing
8.32,debit,Groceries
1.99,debit,Coffee Shops
24.93,debit,Restaurants
5.7,debit,Coffee Shops
12.7,debit,Restaurants
5.81,debit,Coffee Shops
1,debit,Parking
8.64,debit,Restaurants
29.94,debit,Restaurants
4.58,debit,Auto & Transport
15.75,debit,Restaurants
5.7,debit,Coffee Shops
9.64,debit,Fast Food
6.79,debit,Restaurants
30.54,debit,Groceries
6.99,debit,Fast Food
10.14,debit,Restaurants
19.95,debit,Financial
52.67,debit,Business Services
427.96,debit,Air Travel
5.81,debit,Coffee Shops
1.59,debit,Fast Food
64.99,debit,Internet
20.46,debit,Restaurants
5.25,debit,Restaurants
3.35,debit,Gas & Fuel
14,debit,Restaurants
10.25,debit,Fast Food
11.62,debit,Restaurants
6.56,debit,Coffee Shops
46.07,debit,Restaurants
5,debit,Groceries
1568.26,credit,Paycheck
8.28,debit,Coffee Shops
20,debit,Doctor
3.06,debit,Coffee Shops
